id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Zfp292	4	0.13005	0.25247	0.999729	240	1	0.01993	0.33586	0.47186	0.978682	500	1	0.01993
Hmg20a	4	0.13094	0.25342	0.999729	241	1	-0.28348	0.30478	0.43643	0.975854	462	1	-0.28348
Zbtb40	4	0.13097	0.25347	0.999729	242	2	-0.78889	0.83581	0.83652	0.999995	853	0	-0.78889
Foxj2	4	0.13272	0.25535	0.999729	243	2	-0.64899	0.064141	0.14442	0.93365	153	1	-0.64899
Pinx1	4	0.13538	0.25802	0.999729	244	2	-0.12933	0.64481	0.66262	0.999995	694	1	-0.12933
Mettl21c	4	0.13545	0.25815	0.999729	245	2	-0.87946	0.7776	0.77842	0.999995	793	0	-0.87946
Zfp69	4	0.1358	0.25859	0.999729	246	2	-0.79536	0.84085	0.84179	0.999995	860	0	-0.79536
Brd4	4	0.13614	0.25897	0.999729	247	2	-1.0437	0.98498	0.98534	0.999995	1022	0	-1.0437
Satb1	4	0.13716	0.25984	0.999729	248	1	-0.15947	0.89566	0.89593	0.999995	919	0	-0.15947
Thumpd2	4	0.13892	0.26177	0.999729	249	1	0.041313	0.83453	0.83544	0.999995	850	0	0.041313
Numa1	4	0.13893	0.26178	0.999729	250	2	-0.45559	0.31521	0.44826	0.975854	477	2	-0.45559
Zfp622	4	0.13928	0.26218	0.999729	251	2	-0.76225	0.02788	0.071323	0.844903	88	1	-0.76225
MouseNegCon_0061	1	0.14199	0.14289	0.999729	252	1	-1.9118	0.85801	0.85867	0.999995	877	0	-1.9118
Nudt8	4	0.14314	0.2666	0.999729	253	2	-0.43445	0.18651	0.30339	0.973961	320	2	-0.43445
Kpna2	4	0.14334	0.26685	0.999729	254	1	-0.064555	0.9078	0.90782	0.999995	932	0	-0.064555
Zbtb42	4	0.1442	0.26775	0.999729	255	2	-0.39524	0.15733	0.26959	0.973961	281	2	-0.39524
Tada3	4	0.14597	0.26967	0.999729	256	2	-0.61744	0.92818	0.92773	0.999995	952	0	-0.61744
Morf4l1	4	0.14597	0.26967	0.999729	257	2	-0.74478	0.41828	0.52346	0.993472	550	1	-0.74478
Npm2	4	0.14668	0.27046	0.999729	258	2	-0.65709	0.26481	0.39066	0.975854	416	1	-0.65709
MouseNegCon_0077	1	0.14768	0.14829	0.999729	259	1	-1.8118	0.85232	0.85272	0.999995	869	0	-1.8118
Zbtb44	4	0.14918	0.27322	0.999729	260	2	-0.99932	0.9673	0.96729	0.999995	998	0	-0.99932
Prpf4b	4	0.14948	0.27349	0.999729	261	2	-0.62063	0.98556	0.98599	0.999995	1024	0	-0.62063
Ttf2	4	0.15494	0.27887	0.999729	262	2	-0.95752	0.93976	0.93942	0.999995	966	0	-0.95752
Zfp118	3	0.15607	0.25307	0.999729	263	1	-0.070893	0.87267	0.87157	0.999995	896	0	-0.070893
Arid5a	4	0.15733	0.28141	0.999729	264	2	-0.13847	0.03271	0.081665	0.895792	93	1	-0.13847
Smg5	4	0.1582	0.28227	0.999729	265	2	-0.72836	0.95764	0.95754	0.999995	988	0	-0.72836
MouseNegCon_0067	1	0.15929	0.15938	0.999729	266	1	-1.7038	0.84071	0.84132	0.999995	859	0	-1.7038
Klf10	4	0.1604	0.2848	0.999729	267	2	-0.56118	0.54909	0.59721	0.999995	630	1	-0.56118
Setx	4	0.16077	0.28527	0.999729	268	2	-0.69537	0.051852	0.1206	0.93365	124	1	-0.69537
Lrrc45	4	0.16334	0.28809	0.999729	269	2	-0.09558	0.057171	0.13137	0.93365	137	2	-0.09558
